T,s,p,q
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.65000000,0.00200000
1761315929936,BTCUSDT,109825.65000000,0.00005000
1761315929936,BTCUSDT,109825.65000000,0.00005000
1761315929936,BTCUSDT,109825.65000000,0.00005000
1761315929936,BTCUSDT,109825.65000000,0.00005000
1761315929936,BTCUSDT,109824.68000000,0.00005000
1761315929939,BTCUSDT,109824.00000000,0.00005000
1761315929939,BTCUSDT,109824.00000000,0.00006000
1761315929939,BTCUSDT,109824.00000000,0.00005000
1761315929939,BTCUSDT,109824.00000000,0.00005000
1761315929939,BTCUSDT,109824.00000000,0.00005000
1761315929939,BTCUSDT,109824.00000000,0.00005000
1761315929939,BTCUSDT,109824.00000000,0.00005000
1761315929939,BTCUSDT,109823.99000000,0.00005000
1761315929939,BTCUSDT,109823.99000000,0.00005000
1761315929939,BTCUSDT,109823.99000000,0.00005000
1761315929939,BTCUSDT,109823.99000000,0.00005000
1761315929939,BTCUSDT,109823.99000000,0.00005000
1761315929939,BTCUSDT,109823.99000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00546000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.81000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.80000000,0.00005000
1761315929952,BTCUSDT,109821.06000000,0.00005000
1761315929952,BTCUSDT,109820.96000000,0.00005000
1761315929952,BTCUSDT,109820.96000000,0.00005000
1761315929952,BTCUSDT,109820.96000000,0.00005000
1761315929952,BTCUSDT,109820.95000000,0.00298000
1761315929956,ETHUSDT,3903.98000000,0.00140000
1761315929956,ETHUSDT,3903.98000000,0.00140000
1761315929956,ETHUSDT,3903.98000000,0.00140000
1761315929956,ETHUSDT,3903.98000000,0.00150000
1761315929956,ETHUSDT,3903.98000000,0.00140000
1761315929956,ETHUSDT,3903.98000000,0.00140000
1761315929969,ETHUSDT,3903.97000000,0.00140000
